ID,Tốc độ gió trung bình (m/s) | Average Wind Speed (m/s),Độ lệch chuẩn (m/s) | Standard Deviation (m/s),Phân loại tốc độ gió | Wind Speed Category,Tiềm năng | Potential
0,5.518204381207141,0.8356413100766492,5-6,Thấp | Low
1,4.87579352058747,0.5784573544094102,4-5,Thấp | Low
2,5.420465216939115,0.8415641820732837,5-6,Thấp | Low
3,5.088723716548334,1.5243291437751763,5-6,Thấp | Low
4,6.634907105169022,1.5476837156650074,6-7,Cao | High
5,5.6688167918120635,0.49975892957296997,5-6,Thấp | Low
6,5.121466056216262,0.9339060290286628,5-6,Thấp | Low
7,8.72080798539959,1.868910404794181,8-9,Cao | High
8,5.295234497197602,0.9051402331285995,5-6,Thấp | Low
9,6.414894544932136,0.6689576544023955,6-7,Cao | High
10,4.4548981778502315,0.2593739306893092,4-5,Thấp | Low
11,7.966813395794173,0.8589124552173489,7-8,Cao | High
12,7.046718694009795,1.6562265413438684,7-8,Cao | High
13,6.230523111332008,0.47961768273672856,6-7,Cao | High
14,7.855448698668591,0.8688075896235268,7-8,Cao | High
15,6.230095285832807,0.3150882228114467,6-7,Cao | High
16,5.993960377926998,0.3831834743297075,5-6,Thấp | Low
17,5.832737917661098,0.3119536691734074,5-6,Thấp | Low
18,5.893565648915816,0.6138158292236796,5-6,Thấp | Low
19,7.3201621990834,1.0180153000922896,7-8,Cao | High
20,5.475984122983871,0.7550239345204072,5-6,Thấp | Low
21,7.2580449482004585,1.2401208695706054,7-8,Cao | High
22,6.724341067871801,1.5652693569178069,6-7,Cao | High
23,6.544393884731304,0.36473117743184774,6-7,Cao | High
24,6.466445089649552,0.8973128774701603,6-7,Cao | High
25,4.207846159982209,0.33373699462826867,4-5,Thấp | Low
26,5.172713885024258,0.3825920228813016,5-6,Thấp | Low
27,6.407838541666667,0.41647694882538466,6-7,Cao | High
28,4.283861662212171,0.19108182527760906,4-5,Thấp | Low
29,6.175229879207383,0.9133380704168702,6-7,Cao | High
30,7.0539857784431135,0.5006714217544898,7-8,Cao | High
31,7.39262114797073,0.5743354036833964,7-8,Cao | High
32,6.043266062356212,1.069161645673378,6-7,Cao | High
33,6.850264866232014,0.4945895294434864,6-7,Cao | High
34,4.575199885739373,1.0580823706051754,4-5,Thấp | Low
35,7.1703638747165535,0.33642756127385304,7-8,Cao | High
36,6.397356588522476,0.9573196644749888,6-7,Cao | High
37,6.837209082189014,0.32460041300024955,6-7,Cao | High
38,5.568989726783192,0.2693743747396225,5-6,Thấp | Low
39,6.637507207103321,1.6494204733840292,6-7,Cao | High
40,4.269413484783845,0.24357097173091477,4-5,Thấp | Low
41,7.974456044309222,1.3263111362262379,7-8,Cao | High
42,5.288722162661345,0.5170834587511908,5-6,Thấp | Low
43,6.640994790212231,0.5891885426664139,6-7,Cao | High
44,6.205927251459478,0.33162697589638795,6-7,Cao | High
45,5.87249287918348,0.8970139263287642,5-6,Thấp | Low
46,6.334813041907514,0.6502677514595242,6-7,Cao | High
47,6.255880659054487,0.7644573808913876,6-7,Cao | High
48,4.504856895236199,0.42064548190621376,4-5,Thấp | Low
49,5.322067013302365,0.502908301591318,5-6,Thấp | Low
50,6.391350508802161,0.773621660465683,6-7,Cao | High
51,4.814841649865591,0.41990380383220716,4-5,Thấp | Low
52,3.671957854973229,0.5049270192669646,3-4,Thấp | Low
53,6.137344920720769,1.2956328173559906,6-7,Cao | High
54,4.457354220360825,0.8223650605492643,4-5,Thấp | Low
55,5.246329405101788,0.4221572470228605,5-6,Thấp | Low
56,5.555413912259615,1.0706146620923318,5-6,Thấp | Low
57,4.617047854431929,0.5041417976792635,4-5,Thấp | Low
58,5.847781461625282,1.7638508097005456,5-6,Thấp | Low
59,6.696234969303914,0.4471951145439501,6-7,Cao | High
60,4.229504931714719,0.4591168086902682,4-5,Thấp | Low
61,5.598709889555793,0.8736954094264574,5-6,Thấp | Low
62,7.54081326326229,0.47896568089772856,7-8,Cao | High
63,6.528296901755137,1.5700928096057192,6-7,Cao | High
64,5.2387643914473685,0.5150112508808238,5-6,Thấp | Low
65,7.49566380323562,0.5980000955908154,7-8,Cao | High
66,5.846263681959983,1.1263621794479919,5-6,Thấp | Low
67,4.371506876161351,0.9033258457023082,4-5,Thấp | Low
68,7.079723766924565,0.34781621265689655,7-8,Cao | High
69,5.803546085047129,0.8371048290769203,5-6,Thấp | Low
70,6.833786854192839,0.46616917644315675,6-7,Cao | High
71,6.346977133938319,0.5517926801128193,6-7,Cao | High
72,4.83607081287985,0.6162720352395938,4-5,Thấp | Low
73,7.116320714061847,0.5045692958441124,7-8,Cao | High
74,6.454558971774193,1.5959271392329824,6-7,Cao | High
75,5.33322161612426,0.6582129284363323,5-6,Thấp | Low
76,6.143832675348646,0.3803825043766034,6-7,Cao | High
77,7.697365916013925,1.5355610614877446,7-8,Cao | High
78,5.131298130105514,0.4808426154259499,5-6,Thấp | Low
79,6.290390897891717,0.44776008920485705,6-7,Cao | High
80,4.3720682694822175,0.46694691808772576,4-5,Thấp | Low
81,5.985906491334411,0.5626204296293013,5-6,Thấp | Low
82,3.5594774478940514,0.8164395498457314,3-4,Thấp | Low
83,3.9865949947892543,0.4792283701224886,3-4,Thấp | Low
84,4.910913289199815,0.29988427644572235,4-5,Thấp | Low
85,6.383373356186821,1.1176085231025246,6-7,Cao | High
86,5.808017459339292,1.1956074493713016,5-6,Thấp | Low
87,6.948508317696305,0.7215244914951905,6-7,Cao | High
88,7.330351889382845,0.5806286142605815,7-8,Cao | High
89,7.643333781683405,1.2119780150727903,7-8,Cao | High
90,4.5436516542642815,0.41764356089491533,4-5,Thấp | Low
91,6.68294856498431,0.6118112179055303,6-7,Cao | High
92,6.748926352339181,0.6901625934290693,6-7,Cao | High
93,6.518776610172278,1.465314690411302,6-7,Cao | High
94,5.200784088844477,0.30069181691593627,5-6,Thấp | Low
95,6.9854560810810815,0.8216166204064241,6-7,Cao | High
96,7.316923823030777,0.44418117839203025,7-8,Cao | High
97,6.001362677456409,1.7185994702917222,6-7,Cao | High
98,6.92460265494045,0.7707328485892082,6-7,Cao | High
99,7.956408399939296,1.745456193105327,7-8,Cao | High
